0, 0, Header, 1, 2, 960
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 600000
1, 0, Copyright_t, "Copyright © "
1, 9600, Time_signature, 10, 2, 24, 8
1, 19200, Time_signature, 12, 2, 24, 8
1, 30720, Time_signature, 10, 2, 24, 8
1, 40320, Time_signature, 8, 2, 24, 8
1, 48000, Time_signature, 10, 2, 24, 8
1, 57600, Time_signature, 12, 2, 24, 8
1, 57601, End_track
2, 0, Start_track
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 64, 0
2, 0, Control_c, 0, 91, 48
2, 0, Control_c, 0, 10, 51
2, 0, Control_c, 0, 7, 100
2, 0, Lyric_t, "Lo, "
2, 0, Note_on_c, 0, 72, 64
2, 0, Note_on_c, 0, 69, 69
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 64, 0
2, 0, Control_c, 0, 91, 48
2, 0, Control_c, 0, 10, 51
2, 0, Control_c, 0, 7, 100
2, 0, Title_t, "Piano"
2, 0, Note_on_c, 0, 60, 69
2, 0, Note_on_c, 0, 53, 66
2, 1920, Note_off_c, 0, 72, 0
2, 1920, Note_off_c, 0, 69, 0
2, 1920, Lyric_t, "how "
2, 1920, Note_on_c, 0, 72, 71
2, 1920, Note_on_c, 0, 69, 74
2, 1920, Note_off_c, 0, 60, 0
2, 1920, Note_off_c, 0, 53, 0
2, 1920, Note_on_c, 0, 60, 74
2, 1920, Note_on_c, 0, 53, 76
2, 2880, Note_off_c, 0, 72, 0
2, 2880, Note_off_c, 0, 69, 0
2, 2880, Lyric_t, "a "
2, 2880, Note_on_c, 0, 72, 77
2, 2880, Note_on_c, 0, 65, 68
2, 2880, Note_off_c, 0, 60, 0
2, 2880, Note_off_c, 0, 53, 0
2, 2880, Note_on_c, 0, 57, 72
2, 2880, Note_on_c, 0, 53, 75
2, 3840, Note_off_c, 0, 72, 0
2, 3840, Note_off_c, 0, 65, 0
2, 3840, Lyric_t, "Rose "
2, 3840, Note_on_c, 0, 74, 77
2, 3840, Note_on_c, 0, 65, 72
2, 3840, Note_off_c, 0, 57, 0
2, 3840, Note_off_c, 0, 53, 0
2, 3840, Note_on_c, 0, 58, 77
2, 4800, Note_off_c, 0, 74, 0
2, 4800, Note_off_c, 0, 65, 0
2, 4800, Lyric_t, "e'er "
2, 4800, Note_on_c, 0, 72, 76
2, 4800, Note_on_c, 0, 65, 74
2, 4800, Note_off_c, 0, 58, 0
2, 4800, Note_on_c, 0, 57, 79
2, 4800, Note_on_c, 0, 53, 77
2, 5760, Note_off_c, 0, 72, 0
2, 5760, Note_off_c, 0, 65, 0
2, 5760, Lyric_t, "bloom"
2, 5760, Note_on_c, 0, 72, 79
2, 5760, Note_on_c, 0, 64, 72
